"Year","Area","Street","Street.2"
2011,"Birmingham","Westley Rd",""
2011,"Birmingham","Westley Rd, Acocks Green",""
2011,"Birmingham","White Hart Public House",""
2011,"Birmingham","White Hart Public House",""
2011,"Birmingham","Whiteheart Pub, Gressell Ln",""
2011,"Birmingham","William Hill Bookmakers, Washwood Heath Rd",""
2011,"Birmingham","William Hill Bookmakers, Washwood Heath Rd",""
2011,"Birmingham","William Hill Washwood Heath Rd",""
2011,"Birmingham","Windward Rd",""
2011,"Birmingham","Windward Rd",""
2011,"Birmingham","Wood End Rd, Erdington",""
2011,"Birmingham","Woodbridge Rd, Moseley",""
2011,"Birmingham","Wright St",""
2011,"Birmingham","Yardley Green Rd",""
2011,"Birmingham","Yardley Rd Acocks Green",""
2011,"Birmingham","Yardley Wood Rd",""
2011,"Birmingham","Yardley Wood Rd",""
2011,"Birmingham","Yew Tree Car Park",""
2011,"Birmingham","Yew Tree Ln",""
2011,"Birmingham","Yew Tree Public House Car Park",""
2011,"Birmingham","Armada Pub, Slade Rd, Erdington, Birmingham",""
2011,"Birmingham","Armarda Pub, Gravelly Hill",""
2011,"Birmingham","Armarda Pub, Gravelly Hill",""
2011,"Birmingham","Badgers Bank Rd",""
2011,"Birmingham","Baldmoor Lake Rd, Erdington, Birmingham",""
2011,"Birmingham","Bandywood Rd, Kingstanding",""
2011,"Birmingham","Beckenham Rd",""
2011,"Birmingham","Beeches Walk",""
2011,"Birmingham","Birmingham Rd",""
2011,"Birmingham","Birmingham Rd",""
2011,"Birmingham","Birmingham Rd, Sc",""
2011,"Birmingham","Birmingham Rd",""
2011,"Birmingham","Birmingham Rd",""
2011,"Birmingham","Birmingham Rd Sutton",""
2011,"Birmingham","Birmingham Rd, Erdington",""
2011,"Birmingham","Birmingham Rd, Sutton Coldfield",""
2011,"Birmingham","Birmingham Rd, Sutton Coldfield",""
2011,"Birmingham","Bowling Green Close",""
2011,"Birmingham","Bracebridge Rd, Erdington",""
2011,"Birmingham","Brassington Ave",""
2011,"Birmingham","Bromford Ln",""
2011,"Birmingham","Bromford Ln, Erdington, B Ham",""
2011,"Birmingham","Brookvale Park Rd",""
2011,"Birmingham","Carhampton Rd, Falcon Lodge, Sutton Colfield",""
2011,"Birmingham","Carshalton Rd",""
2011,"Birmingham","Carshorlton Rd",""
2011,"Birmingham","Chester Rd",""
2011,"Birmingham","Chester Rd",""
2011,"Birmingham","Chester Rd, Halls Garden Centre",""
2011,"Birmingham","Church Rd At Chester Rd",""
2011,"Birmingham","College Rd, Kingstanding, B Ham",""
2011,"Birmingham","College Rd, Kingstanding, B Ham",""
2011,"Birmingham","Copshill Court, Mount View, Sutton Coldfield",""
2011,"Birmingham","Dovedale Rd, Erdington, B Ham",""
2011,"Birmingham","Downside Rd, Erdington, B Ham",""
2011,"Birmingham","Eachelhurt Rd, Erdington",""
2011,"Birmingham","Erdington Hall Rd",""
2011,"Birmingham","Erdington Hall Rd",""
2011,"Birmingham","Erdington High St",""
2011,"Birmingham","Fentham Rd, Erdington, B Ham",""
2011,"Birmingham","Finchley Rd",""
2011,"Birmingham","Finchley Rd, Kingstanding, B Ham",""
2011,"Birmingham","George Frederick Rd",""
2011,"Birmingham","Golden Pond Take Away Boldmere Rd",""
2011,"Birmingham","Good Hope Hospital",""
2011,"Birmingham","Gracechurch Centre",""
2011,"Birmingham","Gracechurch Centre, Outside Supercigs",""
2011,"Birmingham","Gracechurch Shopping Centre, Sutton Coldfield",""
2011,"Birmingham","Grassed Area, Pype Hayes Park",""
2011,"Birmingham","Gravelley Ln",""
2011,"Birmingham","Gravelley Ln",""
2011,"Birmingham","Gravelley Ln",""
2011,"Birmingham","Gravelly Ln, Erdington, Birmingham",""
2011,"Birmingham","Hairy Lemon Pub Sutton Coldfield",""
2011,"Birmingham","Hairy Lemon Pub Sutton Coldfield",""
2011,"Birmingham","Hermatige Rd",""
2011,"Birmingham","Hermatige Rd",""
2011,"Birmingham","Hermitage Drive",""
2011,"Birmingham","High St",""
2011,"Birmingham","High St Erdington",""
2011,"Birmingham","High St, Erdington",""
2011,"Birmingham","High St, Erdington",""
2011,"Birmingham","High St, S/C",""
2011,"Birmingham","High St, S/C",""
2011,"Birmingham","Hight St Erdington",""
2011,"Birmingham","Hunton Hill",""
2011,"Birmingham","Kfc Retail Outlet, Erdington High St",""
2011,"Birmingham","Kingsbury Rd, Erdington, B Ham",""
2011,"Birmingham","Kingstanding Circle",""
2011,"Birmingham","Ladywell Walk, Birmingham",""
2011,"Birmingham","Landsdown Rd",""
2011,"Birmingham","Lichfield Rd, Mere Green",""
2011,"Birmingham","Lichfield Rd, Sutton Coldfield",""
2011,"Birmingham","Lindridge Rd, Sutton Coldfield",""
2011,"Birmingham","Little Aston Ln",""
2011,"Birmingham","Longford Rd",""
2011,"Birmingham","Longford Rd, Kingstanding, B Ham",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade Sc",""
2011,"Birmingham","Lower Parade Sutton",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade,",""
2011,"Birmingham","Lower Parade, Suton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lower Parade, Sutton Coldfield Town Centre",""
2011,"Birmingham","Lower Parade, Sutton Coldfield Town Centre",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Lydham Close",""
2011,"Birmingham","Mill St",""
2011,"Birmingham","Mill St, Sutton Coldfield",""
2011,"Birmingham","Moor Hall Hotel",""
2011,"Birmingham","Mulberry Court Carpark, Kings Rd, Kingstanding, Birmingham",""
2011,"Birmingham","Newhall Walk Car Park",""
2011,"Birmingham","Newhall Walk Car Park",""
2011,"Birmingham","O/S H/A",""
2011,"Birmingham","O/S Litten Tree",""
2011,"Birmingham","O/S Litten Tree, S/C Town Centre",""
2011,"Birmingham","O/S Moomoo Bar, S/C Town Centre",""
2011,"Birmingham","O/S Moomoo Bar, South Parade",""
2011,"Birmingham","O/S Retro",""
2011,"Birmingham","O/S Retro, South Parade",""
2011,"Birmingham","O/S Retros",""
2011,"Birmingham","O/S Royal Hotel, Lichfield Rd",""
2011,"Birmingham","O/S Temple Bar",""
2011,"Birmingham","O/S Temple Bar",""
2011,"Birmingham","O/S Temple Bar, High St",""
2011,"Birmingham","O/S Temple Bar, Lower Parade Sutton Coldfield",""
2011,"Birmingham","O/S Temple Bar, S/C Town Centre",""
2011,"Birmingham","O/S Temple Bar, Sutton Coldfield, West Milands",""
2011,"Birmingham","O/S The Hairy Lemon",""
2011,"Birmingham","On Pavement Outside The Royal Hotel",""
2011,"Birmingham","Ourtside Royal Pub, Lichfield Rd, Sutton Coldfield",""
2011,"Birmingham","Outside Glendale Tower, Lyndhurst Estate",""
2011,"Birmingham","Outside Litten Tree Pub, Birmingham Rd, Sutton Coldfield",""
2011,"Birmingham","Outside Moo Moo Club, Town Centre, Sutton Coldfield",""
2011,"Birmingham","Outside Moo Moo Night Club, South Parade",""
2011,"Birmingham","Outside Temple Parade, Lower Parade",""
2011,"Birmingham","Outside The Temple Bar, Lower Parade, Sc",""
2011,"Birmingham","Parade Sutton Coldfield",""
2011,"Birmingham","Parade Sc",""
2011,"Birmingham","Parade Sutton Coldfield",""
2011,"Birmingham","Parade Sutton Coldfield",""
2011,"Birmingham","Parade Sutton Coldfield",""
2011,"Birmingham","Parade Sutton Town",""
2011,"Birmingham","Parade, Sutton Coldfield",""
2011,"Birmingham","Parade, Sutton Coldfield",""
2011,"Birmingham","Parade, Sutton Town Centre",""
2011,"Birmingham","Parkeston Crescent, Kinsgatnding, B Ham",""
2011,"Birmingham","Plants Grove Erdington",""
2011,"Birmingham","Pype Hayes Rd, Pype Hayes, B Ham",""
2011,"Birmingham","Pype Hayes Rd, Pype Hayes, B Ham",""
2011,"Birmingham","Pype Hayes Rd, Pype Hayes, B Ham",""
2011,"Birmingham","Queen St",""
2011,"Birmingham","Queen St",""
2011,"Birmingham","Queen St",""
2011,"Birmingham","Queen St",""
2011,"Birmingham","Queen St Sutton Coldfield Town Centre",""
2011,"Birmingham","Queslett Rd East",""
2011,"Birmingham","Redacre Rd Boldmere",""
2011,"Birmingham","Reservoir Rd",""
2011,"Birmingham","Ridgeway",""
2011,"Birmingham","Slade Rd, Erdington, B Ham",""
2011,"Birmingham","Slade Rd, Erdington, B Ham",""
2011,"Birmingham","Soth Parade, Sutton Coldfield",""
2011,"Birmingham","Soth Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade Town Centre, Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Coldfield",""
2011,"Birmingham","South Parade Sutton Town Centre",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Coldfield",""
2011,"Birmingham","South Parade, Sutton Town Centre",""
2011,"Birmingham","South Parade, Town Centre, Sutton Coldfield",""
2011,"Birmingham","Stornaway Rd Castle Vale",""
2011,"Birmingham","Stley Rd Erdington",""
2011,"Birmingham","Sumburgh Croft",""
2011,"Birmingham","Sutton Coldfield Town Centre",""
2011,"Birmingham","Sutton Coldfield Town Centre",""
2011,"Birmingham","Sutton New Rd",""
2011,"Birmingham","Sutton New Rd Erdington",""
2011,"Birmingham","Sutton New Rd Erdington",""
2011,"Birmingham","Sutton New Rd Erdington",""
2011,"Birmingham","Sutton New Rd, Erdington, B Ham",""
2011,"Birmingham","Sutton Parade",""
2011,"Birmingham","Sutton Parade",""
2011,"Birmingham","Sutton Parade",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Sutton Town Centre",""
2011,"Birmingham","Tedbury Crescent",""
2011,"Birmingham","Tesco S Express, Walsall Rd, Four Oaks, Sutton Coldfield",""
2011,"Birmingham","The Parade",""
2011,"Birmingham","The Parade",""
2011,"Birmingham","The Parade",""
2011,"Birmingham","The Parade Sutton",""
2011,"Birmingham","The Parade Sutton Coldfield",""
2011,"Birmingham","The Parade, Birmingham Rd, Sutton Coldfield",""
2011,"Birmingham","The Parade, Sutton Coldfield",""
2011,"Birmingham","The Parade, Sutton Coldfield",""
2011,"Birmingham","The Parade, Sutton Coldfield",""
2011,"Birmingham","The Parade, Sutton Coldfield",""
2011,"Birmingham","The Parade, Sutton Coldfield",""
2011,"Birmingham","The Parade, Sutton Coldfield",""
2011,"Birmingham","The Parade, Sutton Town Centre",""
2011,"Birmingham","The Parade",""
2011,"Birmingham","The Ridgeway",""
2011,"Birmingham","The Ridgeway",""
2011,"Birmingham","The Ridgeway",""
2011,"Birmingham","The Swan Ph",""
2011,"Birmingham","Turnhouse Rd",""
2011,"Birmingham","Upper Holland Rd",""
2011,"Birmingham","Victoria Rd",""
2011,"Birmingham","Victoria Rd",""
2011,"Birmingham","Victoria Rd",""
2011,"Birmingham","Walsh Drive, Walmley, Sutton Coldfield",""
2011,"Birmingham","Warren Farm Rd",""
2011,"Birmingham","Warren Farm Rd",""
2011,"Birmingham","Whitehouse Common Rd",""
2011,"Birmingham","Wilton Rd",""
2011,"Birmingham","Windsor House, Jarvis Rd, Erdington",""
2011,"Birmingham","Witton Lodge Rd",""
2011,"Birmingham","Witton Lodge Rd, Erdington",""
2011,"Birmingham","York Rd",""
2011,"Birmingham","Abdon Ave",""
2011,"Birmingham","Alcester Rd South",""
2011,"Birmingham","Alvechurch Rd",""
2011,"Birmingham","Arden Rd",""
2011,"Birmingham","Ardencote Froad",""
2011,"Birmingham","Ashley Close",""
2011,"Birmingham","Balti Spice Bristol Rd South",""
2011,"Birmingham","Barnes Hill",""
2011,"Birmingham","Barrow House",""
2011,"Birmingham","Bell St",""
2011,"Birmingham","Birmingham New St",""
2011,"Birmingham","Birmingham New St",""
2011,"Birmingham","Birmingham New St",""
2011,"Birmingham","Birmingham St, Oldbury",""
2011,"Birmingham","Blandford Rd",""
2011,"Birmingham","Bournbrook Rd",""
2011,"Birmingham","Bournville Front Office",""
2011,"Birmingham","Bournville Front Office",""
2011,"Birmingham","Bournville Ln",""
2011,"Birmingham","Bournville Ln",""
2011,"Birmingham","Bournville Ln Front Office",""
2011,"Birmingham","Bowling Green Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd Selly Oak",""
2011,"Birmingham","Bristol Rd South",""
2011,"Birmingham","Bristol Rd South",""
2011,"Birmingham","Bristol Rd Sth",""
2011,"Birmingham","Bristol Rd, Northfield",""
2011,"Birmingham","Bristol Rd, Selly Oak",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
2011,"Birmingham","Bristol Rd",""
